count,prod_vol
3039,314432
15,286688
111,277440
3,268686
3,261855
1,252054
25,245000
4,244260
9,238050
33,234000
4,231200
10,217620
5,216008
1,216000
1,214760
16,214326
2,212940
6,208725
2,194700
1,193800
9,192500
24,190440
6,189000
1,186300
1,185955
7,184800
1,182850
5,182160
33,180000
1,179400
8,179200
2,178848
14,178475
1,176256
86,175712
10,175032
1,173880
4,172872
16,172500
4,171105
5,168960
1,165648
1,164300
20,164150
9,160800
4,159744
121,158355
12,157950
3,157500
3,157410
71,156468
49,155648
7,155550
13,155025
10,154836
1,154560
3,154128
5,152064
53,150822
15,150800
17,150144
2,149760
6,147968
4,146250
2,146217
66,145794
26,144854
21,144000
2,142912
9,142830
12,142228
6,142100
1,141960
22,141705
4,141600
4,141050
12,140712
10,140608
5,140030
18,138384
20,138159
5,138012
36,138000
14,137800
5,137200
2,135608
2,135424
27,135000
9,134560
19,133224
12,133200
17,132480
1,132160
1,132066
1,131544
14,131040
32,129600
2,129500
1,129360
1,128700
50,128588
3,128547
115,128064
27,127551
1,127200
3,126750
35,126000
1,125345
19,125050
5,125001
2,124740
3,124440
3,124410
14,124200
2,123200
30,123000
1,122500
47,122400
2,122200
4,121905
2,121471
53,121104
1,121095
10,120960
6,120612
41,120000
20,119600
2,118826
5,118818
4,118320
34,118300
9,118035
19,118000
6,117852
2,117600
4,117250
5,117000
1,116994
1,116160
6,115920
2,115320
9,115290
1,115200
8,115197
167,114376
9,114345
160,114264
8,114240
2,113850
2,113568
25,113520
45,113400
1,113100
21,112800
3170,112700
44,112500
4,112320
1,112000
7,111996
7,111925
2,111671
1,111573
122,111375
20,111215
8,111012
1,110880
1,110466
5,110331
4,110200
4,110112
2,109956
3,109554
4,109503
3,109480
8,109368
5,109296
1,108864
5,108800
35,108000
8,107712
4,107604
35,107520
10,107360
2,107250
6,107100
7,106764
1,106750
2,106554
11,106260
1,106082
16,105875
6,105651
8,105600
11,104940
2,104676
22,104615
2,104544
6,104448
7,104400
8,104076
9,103680
6,103008
3,102900
1,102648
4,102601
5,102459
2,102340
4,102144
35,102120
1,101824
14,101706
4,101500
14,101232
171,100878
39,100815
22,100800
2,100467
3,100170
42,100050
2,100000
8,99981
6,99840
2,99792
2,99750
2,99640
51,99456
2,99330
2,99238
6,99064
4,98952
7,98637
7,98235
61,98208
1,97902
6,97760
1,97552
7,97470
12,97240
4,97216
2,96760
2,96746
2,96642
5,96628
48,96624
13,96600
2,96570
2,96492
2,96441
22,96406
1,96135
1,96096
30,96040
1,96000
1,95904
2,95880
1,95634
63,95410
77,95220
