sku,count,width,height,depth
12649,3294,11.0,21.0,3.0
28639,2846,27.0,25.0,48.0
30091,2418,10.0,10.0,10.0
26877,1789,70.0,23.0,70.0
30034,1680,10.0,10.0,10.0
23462,1580,12.0,5.0,11.0
28891,1274,14.0,50.0,69.0
26872,1223,69.0,60.0,17.0
21359,1023,32.0,7.0,25.0
24740,931,10.0,10.0,10.0
21357,858,26.0,7.0,35.0
21358,801,24.0,7.0,31.0
29993,791,68.0,68.0,68.0
30087,791,10.0,10.0,10.0
21632,718,40.0,25.0,28.0
29978,678,26.0,10.0,31.0
21356,661,25.0,11.0,26.0
10869,653,12.0,15.0,1.0
16040,648,10.0,10.0,10.0
2661,592,17.0,61.0,60.0
21354,586,17.0,9.0,22.0
29995,500,68.0,68.0,68.0
14444,476,22.0,3.0,13.0
29050,468,48.0,63.0,29.0
15731,449,10.0,10.0,10.0
7497,417,12.0,5.0,17.0
21353,416,28.0,8.0,24.0
13718,411,45.0,67.0,30.0
21350,392,52.0,7.0,33.0
18769,392,11.0,11.0,31.0
17497,386,28.0,48.0,5.0
30255,371,30.0,25.0,15.0
23456,367,13.0,4.0,11.0
10232,356,8.0,19.0,2.0
15272,355,70.0,23.0,70.0
22707,353,16.0,3.0,8.0
23455,353,17.0,9.0,22.0
30796,352,10.0,10.0,10.0
14906,342,10.0,21.0,8.0
29979,341,40.0,20.0,65.0
14915,341,10.0,10.0,10.0
18841,334,16.0,3.0,27.0
10405,331,27.0,44.0,27.0
21331,325,10.0,1.0,12.0
14487,320,28.0,14.0,17.0
27266,315,10.0,10.0,15.0
29311,311,20.0,53.0,70.0
31601,311,10.0,10.0,10.0
27238,307,10.0,10.0,10.0
1730,303,19.0,5.0,12.0
17508,303,26.0,4.0,32.0
21064,300,30.0,64.0,40.0
27234,294,10.0,10.0,10.0
11169,294,26.0,7.0,26.0
8650,290,38.0,24.0,35.0
23459,289,13.0,3.0,11.0
24256,283,10.0,10.0,10.0
27236,281,10.0,10.0,15.0
10870,281,12.0,1.0,10.0
30032,279,10.0,10.0,10.0
30794,274,10.0,10.0,10.0
30877,273,10.0,10.0,10.0
11823,272,18.0,3.0,8.0
30878,270,10.0,10.0,10.0
11037,269,16.0,5.0,25.0
8312,266,38.0,7.0,24.0
7666,256,36.0,21.0,13.0
375,251,29.0,69.0,10.0
15726,251,10.0,21.0,8.0
21042,250,6.0,12.0,9.0
30843,248,10.0,10.0,10.0
21392,245,36.0,14.0,40.0
12176,244,41.0,20.0,18.0
17359,242,41.0,13.0,33.0
223,242,18.0,14.0,29.0
5489,242,25.0,7.0,30.0
26876,241,69.0,69.0,14.0
30799,239,10.0,10.0,10.0
27333,238,70.0,23.0,70.0
12023,236,34.0,24.0,24.0
2057,233,33.0,4.0,32.0
10501,231,28.0,25.0,28.0
10568,223,24.0,18.0,24.0
16999,221,14.0,14.0,19.0
6258,220,23.0,14.0,21.0
20086,219,33.0,26.0,20.0
27244,216,10.0,10.0,10.0
18678,212,16.0,8.0,26.0
21924,210,8.0,3.0,17.0
29031,210,17.0,5.0,10.0
21035,200,27.0,10.0,27.0
29038,197,10.0,5.0,17.0
17498,195,28.0,48.0,5.0
16907,195,18.0,16.0,20.0
10475,191,22.0,60.0,60.0
1808,191,45.0,69.0,30.0
229,190,30.0,14.0,14.0
21349,190,11.0,38.0,38.0
14922,190,10.0,10.0,10.0
9669,189,39.0,43.0,32.0
25733,188,10.0,10.0,10.0
4706,187,23.0,6.0,23.0
5960,184,41.0,23.0,27.0
1067,184,31.0,22.0,52.0
5900,183,12.0,6.0,9.0
21393,182,25.0,12.0,38.0
15495,181,26.0,22.0,38.0
27651,180,34.0,39.0,54.0
14920,177,10.0,10.0,15.0
9980,174,23.0,7.0,20.0
2185,173,45.0,27.0,23.0
25728,172,44.0,4.0,31.0
29030,171,10.0,5.0,17.0
14165,171,34.0,43.0,69.0
3901,171,12.0,5.0,12.0
14871,170,24.0,12.0,32.0
23973,169,25.0,13.0,22.0
21034,169,27.0,9.0,27.0
10118,168,31.0,16.0,44.0
10731,167,9.0,9.0,27.0
23289,167,34.0,5.0,29.0
21067,167,58.0,34.0,58.0
28371,166,45.0,35.0,51.0
26067,165,15.0,3.0,8.0
23160,165,14.0,8.0,58.0
7633,163,18.0,3.0,27.0
2759,163,14.0,3.0,7.0
6044,163,12.0,9.0,14.0
28574,162,35.0,27.0,50.0
19478,162,26.0,11.0,28.0
21063,161,34.0,50.0,39.0
24130,161,5.0,20.0,24.0
29006,160,16.0,69.0,69.0
20354,160,69.0,69.0,24.0
8157,159,36.0,31.0,46.0
23250,158,20.0,6.0,14.0
10590,157,23.0,7.0,16.0
8400,157,23.0,16.0,23.0
1348,157,21.0,11.0,13.0
5754,157,30.0,13.0,35.0
2121,157,12.0,5.0,12.0
8863,157,12.0,14.0,20.0
1051,157,23.0,24.0,20.0
18146,156,9.0,25.0,9.0
16634,156,6.0,3.0,14.0
6203,155,11.0,28.0,16.0
22173,155,21.0,6.0,13.0
27013,154,40.0,20.0,65.0
26975,154,13.0,8.0,59.0
3741,152,7.0,10.0,2.0
12086,152,23.0,8.0,29.0
16337,152,25.0,51.0,67.0
1590,150,27.0,29.0,26.0
28021,150,40.0,15.0,65.0
28148,150,34.0,17.0,48.0
25388,149,8.0,3.0,15.0
24664,148,10.0,4.0,10.0
12836,148,21.0,14.0,23.0
6457,147,19.0,5.0,13.0
28373,145,19.0,8.0,23.0
18201,145,50.0,6.0,36.0
29004,143,40.0,20.0,65.0
17429,142,32.0,37.0,32.0
27531,142,10.0,10.0,10.0
22284,140,25.0,6.0,19.0
7529,139,31.0,10.0,21.0
